    build_result = build_ws.__wrapped__(
                   ^^^^^^^^^^^^^^^^^^^^
AttributeError: 'function' object has no attribute '__wrapped__'
2025-10-22 11:02:40,415 | INFO | uvicorn.access | 127.0.0.1:21774 - "POST /api/workspaces/c00f03fe-2359-4d79-a507-564868260df3/documents?auto_build=true HTTP/1.1" 200
2025-10-22 11:02:44,293 | INFO | uvicorn.access | 127.0.0.1:21800 - "OPTIONS /api/llm/select HTTP/1.1" 200
2025-10-22 11:02:44,982 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-10-22 11:02:44,988 | INFO | uvicorn.access | 127.0.0.1:21800 - "POST /api/llm/select HTTP/1.1" 200
2025-10-22 11:02:52,946 | INFO | uvicorn.access | 127.0.0.1:21802 - "OPTIONS /api/ask/workspace HTTP/1.1" 200
2025-10-22 11:02:53,259 | INFO | utils.workspaces | Index chargé: 11 vecteurs, dim=384
2025-10-22 11:02:53,261 | INFO | utils.workspaces | Idmap chargé: 11 entrées
2025-10-22 11:02:53,588 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/messages "HTTP/2 409 Conflict"
2025-10-22 11:02:53,631 | INFO | rag.retriever_workspace | ✓ Embedder chargé
2025-10-22 11:02:53,633 | INFO | rag.retriever_workspace | ✓ Retriever chargé: 11 vecteurs
2025-10-22 11:02:55,746 | INFO | httpx | HTTP Request: POST http://localhost:1234/v1/embeddings "HTTP/1.1 200 OK"
2025-10-22 11:02:55,758 | INFO | rag.retriever_workspace | ✓ Retrieve: 5/11 hits (min_score=0.3)
2025-10-22 11:02:55,767 | INFO | api.ask | ✓ Retrieve workspace: 5 hits en 2.16s
2025-10-22 11:02:55,781 | INFO | rag.generator | RAGGenerator initialisé - LLM: ChatGroq
2025-10-22 11:02:55,796 | INFO | rag.generator | 📝 Génération réponse - Question: 'À quoi servent Integration Server et Universal Messaging ?...'
2025-10-22 11:02:55,798 | INFO | rag.generator | 📚 Chunks reçus: 5
2025-10-22 11:02:55,809 | INFO | rag.generator | ✅ Chunks filtrés: 5
2025-10-22 11:02:55,812 | INFO | rag.generator | 🔄 Invocation du LLM...
2025-10-22 11:02:56,753 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-10-22 11:02:56,756 | INFO | rag.generator | ✅ Réponse LLM reçue: 961 chars
2025-10-22 11:02:56,763 | INFO | rag.generator | 📎 Citations trouvées: 1 sources uniques
2025-10-22 11:02:56,763 | INFO | rag.generator | ✓ Réponse finale: 1055 chars
2025-10-22 11:02:56,863 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/messages "HTTP/2 409 Conflict"
2025-10-22 11:02:56,986 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/answers "HTTP/2 409 Conflict"
2025-10-22 11:02:56,991 | INFO | uvicorn.access | 127.0.0.1:21805 - "POST /api/ask/workspace HTTP/1.1" 200
2025-10-22 11:03:40,236 | INFO | httpx | HTTP Request: POST http://localhost:1234/v1/chat/completions "HTTP/1.1 200 OK"
2025-10-22 11:03:40,257 | INFO | uvicorn.access | 127.0.0.1:21816 - "POST /api/llm/select HTTP/1.1" 200
2025-10-22 11:03:42,618 | INFO | utils.workspaces | Index chargé: 11 vecteurs, dim=384
2025-10-22 11:03:42,619 | INFO | utils.workspaces | Idmap chargé: 11 entrées
2025-10-22 11:03:42,974 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/messages "HTTP/2 409 Conflict"
2025-10-22 11:03:43,022 | INFO | rag.retriever_workspace | ✓ Embedder chargé
2025-10-22 11:03:43,022 | INFO | rag.retriever_workspace | ✓ Retriever chargé: 11 vecteurs
2025-10-22 11:03:46,987 | INFO | httpx | HTTP Request: POST http://localhost:1234/v1/embeddings "HTTP/1.1 200 OK"
2025-10-22 11:03:46,990 | INFO | rag.retriever_workspace | ✓ Retrieve: 5/11 hits (min_score=0.3)
2025-10-22 11:03:46,994 | INFO | api.ask | ✓ Retrieve workspace: 5 hits en 4.01s
2025-10-22 11:03:46,998 | INFO | rag.generator | RAGGenerator initialisé - LLM: LMStudioChat
2025-10-22 11:03:47,000 | INFO | rag.generator | 📝 Génération réponse - Question: 'À quoi servent Integration Server et Universal Messaging ?...'
2025-10-22 11:03:47,006 | INFO | rag.generator | 📚 Chunks reçus: 5
2025-10-22 11:03:47,011 | INFO | rag.generator | ✅ Chunks filtrés: 5
2025-10-22 11:03:47,014 | INFO | rag.generator | 🔄 Invocation du LLM...
2025-10-22 11:04:19,822 | INFO | httpx | HTTP Request: POST http://localhost:1234/v1/chat/completions "HTTP/1.1 200 OK"
2025-10-22 11:04:19,827 | INFO | rag.generator | ✅ Réponse LLM reçue: 243 chars
2025-10-22 11:04:19,862 | INFO | rag.generator | 📎 Citations trouvées: 1 sources uniques
2025-10-22 11:04:19,881 | WARNING | rag.generator | ⚠️  Réponse LLM invalide (trop courte ou pas assez de citations)
2025-10-22 11:04:19,890 | INFO | rag.generator |     → Pas de fallback (RAG_ALLOW_FALLBACK=0). On retourne la réponse LLM telle quelle.
2025-10-22 11:04:19,893 | INFO | rag.generator | ✓ Réponse finale: 312 chars
2025-10-22 11:04:20,689 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/messages "HTTP/2 409 Conflict"
2025-10-22 11:04:20,860 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/answers "HTTP/2 409 Conflict"
2025-10-22 11:04:20,867 | INFO | uvicorn.access | 127.0.0.1:21855 - "POST /api/ask/workspace HTTP/1.1" 200
2025-10-22 11:06:18,259 | INFO | utils.workspaces | Index chargé: 11 vecteurs, dim=384
2025-10-22 11:06:18,260 | INFO | utils.workspaces | Idmap chargé: 11 entrées
2025-10-22 11:06:18,932 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/messages "HTTP/2 409 Conflict"
2025-10-22 11:06:18,959 | INFO | rag.retriever_workspace | ✓ Embedder chargé
2025-10-22 11:06:18,961 | INFO | rag.retriever_workspace | ✓ Retriever chargé: 11 vecteurs
2025-10-22 11:06:22,927 | INFO | httpx | HTTP Request: POST http://localhost:1234/v1/embeddings "HTTP/1.1 200 OK"
2025-10-22 11:06:22,930 | INFO | rag.retriever_workspace | ✓ Retrieve: 2/11 hits (min_score=0.3)
2025-10-22 11:06:22,932 | INFO | api.ask | ✓ Retrieve workspace: 2 hits en 4.00s
2025-10-22 11:06:22,933 | INFO | rag.generator | 📝 Génération réponse - Question: 'Comment limiter le débit d’une API publique ?...'
2025-10-22 11:06:22,934 | INFO | rag.generator | 📚 Chunks reçus: 2
2025-10-22 11:06:22,936 | INFO | rag.generator | ✅ Chunks filtrés: 2
2025-10-22 11:06:22,943 | INFO | rag.generator | 🔄 Invocation du LLM...
2025-10-22 11:06:51,197 | INFO | httpx | HTTP Request: POST http://localhost:1234/v1/chat/completions "HTTP/1.1 200 OK"
2025-10-22 11:06:51,204 | INFO | rag.generator | ✅ Réponse LLM reçue: 103 chars
2025-10-22 11:06:51,209 | INFO | rag.generator | 📎 Citations trouvées: 1 sources uniques
2025-10-22 11:06:51,212 | WARNING | rag.generator | ⚠️  Réponse LLM invalide (trop courte ou pas assez de citations)
2025-10-22 11:06:51,215 | INFO | rag.generator |     → Pas de fallback (RAG_ALLOW_FALLBACK=0). On retourne la réponse LLM telle quelle.
2025-10-22 11:06:51,219 | INFO | rag.generator | ✓ Réponse finale: 172 chars
2025-10-22 11:06:51,545 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/messages "HTTP/2 409 Conflict"
2025-10-22 11:06:51,661 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/answers "HTTP/2 409 Conflict"
2025-10-22 11:06:51,668 | INFO | uvicorn.access | 127.0.0.1:21927 - "POST /api/ask/workspace HTTP/1.1" 200
2025-10-22 11:07:20,221 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2025-10-22 11:07:20,222 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-10-22 11:07:28,099 | INFO | uvicorn.access | 127.0.0.1:21955 - "POST /api/workspaces/c00f03fe-2359-4d79-a507-564868260df3/build?force=true HTTP/1.1" 200
2025-10-22 11:07:33,937 | INFO | utils.workspaces | Index chargé: 21 vecteurs, dim=384
2025-10-22 11:07:33,969 | INFO | utils.workspaces | Idmap chargé: 21 entrées
2025-10-22 11:07:34,329 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/messages "HTTP/2 409 Conflict"
2025-10-22 11:07:34,355 | INFO | rag.retriever_workspace | ✓ Embedder chargé
2025-10-22 11:07:34,356 | INFO | rag.retriever_workspace | ✓ Retriever chargé: 21 vecteurs
2025-10-22 11:07:37,992 | INFO | httpx | HTTP Request: POST http://localhost:1234/v1/embeddings "HTTP/1.1 200 OK"
2025-10-22 11:07:37,999 | INFO | rag.retriever_workspace | ✓ Retrieve: 6/12 hits (min_score=0.3)
2025-10-22 11:07:38,008 | INFO | api.ask | ✓ Retrieve workspace: 6 hits en 3.68s
2025-10-22 11:07:38,030 | INFO | rag.generator | 📝 Génération réponse - Question: 'Comment limiter le débit d’une API publique ?...'
2025-10-22 11:07:38,037 | INFO | rag.generator | 📚 Chunks reçus: 6
2025-10-22 11:07:38,051 | INFO | rag.generator | ✅ Chunks filtrés: 6
2025-10-22 11:07:38,063 | INFO | rag.generator | 🔄 Invocation du LLM...
2025-10-22 11:08:39,689 | INFO | httpx | HTTP Request: POST http://localhost:1234/v1/chat/completions "HTTP/1.1 200 OK"
2025-10-22 11:08:39,717 | INFO | rag.generator | ✅ Réponse LLM reçue: 781 chars
2025-10-22 11:08:39,734 | INFO | rag.generator | 📎 Citations trouvées: 2 sources uniques
2025-10-22 11:08:39,736 | INFO | rag.generator | ✓ Réponse finale: 904 chars
2025-10-22 11:08:40,107 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/messages "HTTP/2 409 Conflict"
2025-10-22 11:08:40,254 | INFO | httpx | HTTP Request: POST https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/answers "HTTP/2 409 Conflict"
2025-10-22 11:08:40,285 | INFO | uvicorn.access | 127.0.0.1:21979 - "POST /api/ask/workspace HTTP/1.1" 200
2025-10-22 11:09:06,218 | INFO | uvicorn.access | 127.0.0.1:22014 - "GET /api/admin/config HTTP/1.1" 200
2025-10-22 11:09:06,234 | INFO | uvicorn.access | 127.0.0.1:22014 - "GET /api/admin/config HTTP/1.1" 200
2025-10-22 11:09:06,811 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/documents?select=id "HTTP/2 200 OK"
2025-10-22 11:09:07,011 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/documents?select=id&created_at=gte.2025-10-15T10%3A09%3A06.209901%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:07,210 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/documents?select=id&indexed=eq.True "HTTP/2 200 OK"
2025-10-22 11:09:07,415 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/documents?select=id&indexed=eq.True&indexed_at=gte.2025-10-15T10%3A09%3A06.209901%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:07,626 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/documents?select=id "HTTP/2 200 OK"
2025-10-22 11:09:07,825 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/documents?select=id&created_at=gte.2025-10-15T10%3A09%3A06.209901%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:08,030 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/messages?select=id&created_at=gte.2025-10-21T10%3A09%3A06.209901%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:08,233 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/sessions?select=user_id&started_at=gte.2025-10-21T10%3A09%3A06.209901%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:08,444 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/sessions?select=started_at%2Cended_at&started_at=gte.2025-10-21T10%3A09%3A06.209901%2B00%3A00 "HTTP/2 200 OK"
